"Date/Time","Internal Natural vent.","Sensible Cooling","Mech Vent + Nat Vent + Infiltration","External Infiltration","Total Cooling","Zone Heating","General Lighting","Computer + Equip","Occupancy","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Heating (Electricity)","Cooling (Electricity)","Outside Dry-Bulb Temperature",
,"kBtu/h","kBtu/h","ac/h","kBtu/h","kBtu/h","kBtu/h","kBtu/h","kBtu/h","kBtu/h","kBtu/h","kBtu/h","kBtu/h","°F","°F","°F","kBtu/h","kBtu/h","kBtu/h","kBtu/h","°F",
"1/1/2002 1:00:00 AM","0","0","0.7690552","-8.477917","0","4.478139","0","0.084489","0","0","3.57184","-1.678917","51.6749","51.41941","51.54715","8.449145E-02","0","1.279468","0","24.98",
"1/1/2002 2:00:00 AM","0","0","0.7458165","-8.168783","0","14.67879","0","0.084489","0","0","12.07142","0","49.4384","47.79457","48.61649","8.449145E-02","0","4.193942","0","22.73",
"1/1/2002 3:00:00 AM","0","0","0.8752055","-10.40845","0","19.90273","0","0.084489","0","0","17.22232","0","49.02035","46.488","47.75417","8.449145E-02","0","5.686494","0","21.92",
"1/1/2002 4:00:00 AM","0","0","0.8885074","-10.76004","0","21.9587","0","0.084489","0","0","19.21728","0","48.69157","45.58716","47.13937","8.449145E-02","0","6.273915","0","21.2",
"1/1/2002 5:00:00 AM","0","0","0.8900407","-11.02855","0","23.88098","0","0.084489","0","0","21.07902","0","48.49618","44.89342","46.6948","8.449145E-02","0","6.823137","0","20.48",
"1/1/2002 6:00:00 AM","0","0","1.070401","-19.50087","0","76.56609","0","0.084489","0","0","69.28126","0","59.24669","46.1628","52.70475","8.449145E-02","0","21.87603","0","19.895",
"1/1/2002 7:00:00 AM","0","0","1.054952","-19.40876","0","67.25813","0","0.084489","0","0","63.13793","0","59.61146","48.6339","54.12268","8.449145E-02","0","19.21661","0","20.03",
"1/1/2002 8:00:00 AM","0","0","1.46131","-28.85669","0","63.23503","16.89645","1.824816","0.9160886","0.6718315","59.14042","0","60.65011","50.21232","55.43121","1.824817","16.89645","18.06715","0","20.12",
"1/1/2002 9:00:00 AM","0","0","1.448495","-28.62586","0","58.57134","16.89645","1.824816","1.813781","4.68255","54.4767","0","61.56345","51.95062","56.75704","1.824817","16.89645","16.73467","0","20.12",
"1/1/2002 10:00:00 AM","0","0","1.411852","-26.57623","0","50.28323","16.89645","1.824816","0.8956384","13.46301","46.3722","0","62.68267","54.89666","58.78967","1.824817","16.89645","14.36664","0","22.28",
"1/1/2002 11:00:00 AM","0","0","1.097927","-13.44228","0","2.090585","0","1.824816","0","18.24038","1.150503","-1.601905","52.72593","54.52814","53.62703","1.824817","0","0.5973091","0","25.295",
"1/1/2002 12:00:00 PM","0","0","0.976174","-9.810528","0","5.187039","0","1.824816","0","20.20163","3.178627","-0.1388439","51.13744","52.91582","52.02663","1.824817","0","1.482013","0","28.22",
"1/1/2002 1:00:00 PM","0","0","0.9519199","-8.807949","0","4.041907","0","1.824816","0","19.59885","2.046868","0","50.7179","52.48145","51.59968","1.824817","0","1.154829","0","30.02",
"1/1/2002 2:00:00 PM","0","0","0.9426724","-8.198509","0","3.765994","0","1.824816","0","18.24973","1.881336","0","50.48605","52.18042","51.33324","1.824817","0","1.075998","0","31.325",
"1/1/2002 3:00:00 PM","0","0","0.9217936","-7.457276","0","5.440458","0","1.824816","0","13.7999","3.674076","0","50.35126","51.37837","50.86481","1.824817","0","1.554418","0","32.72",
"1/1/2002 4:00:00 PM","0","0","1.203786","-17.08634","0","57.19653","0","1.824816","0","6.046661","51.40692","-0.0765077","61.21991","51.16842","56.19417","1.824817","0","16.34187","0","32.27",
"1/1/2002 5:00:00 PM","0","0","1.224714","-18.18397","0","51.66362","0","1.824816","0","1.019155","48.49013","0","61.38483","52.25128","56.81805","1.824817","0","14.76104","0","31.19",
"1/1/2002 6:00:00 PM","0","0","1.217618","-18.58484","0","42.93753","16.89645","1.824816","0.4511609","0","39.68701","0","61.94015","53.38191","57.66103","1.824817","16.89645","12.26786","0","30.11",
"1/1/2002 7:00:00 PM","0","0","1.215367","-18.73102","0","41.09762","16.89645","1.824816","0.8969511","0","37.81256","0","62.30715","53.95729","58.13222","1.824817","16.89645","11.74218","0","29.705",
"1/1/2002 8:00:00 PM","0","0","0.8702396","-12.43166","0","33.96051","16.89645","1.824816","1.341832","0","30.64928","0","62.49173","54.21885","58.35529","1.824817","16.89645","9.703005","0","29.39",
"1/1/2002 9:00:00 PM","0","0","0.8751974","-12.58635","0","33.70004","16.89645","1.824816","1.785908","0","30.37136","0","62.61961","54.3446","58.48211","1.824817","16.89645","9.628583","0","29.165",
"1/1/2002 10:00:00 PM","0","0","0.8906023","-12.87211","0","34.08892","16.89645","1.824816","1.783891","0","30.75588","0","62.68093","54.36973","58.52533","1.824817","16.89645","9.739689","0","29.12",
"1/1/2002 11:00:00 PM","0","0","0.903143","-13.03625","0","34.71364","16.89645","1.824816","1.337441","0","31.39176","0","62.68374","54.32904","58.50639","1.824817","16.89645","9.918181","0","29.255",
"1/2/2002","0","0","0.9075601","-13.0195","0","36.27194","16.89645","0.6065872","0.4461814","0","32.95434","0","62.53357","54.1951","58.36433","0.6065866","16.89645","10.36341","0","29.3",
"1/2/2002 1:00:00 AM","0","0","0.7357695","-6.935311","0","3.031401","0","0.084489","0","0","2.265755","-1.471416","52.01379","51.62465","51.81922","8.449145E-02","0","0.8661141","0","29.435",
"1/2/2002 2:00:00 AM","0","0","0.7014202","-5.832725","0","10.76896","0","0.084489","0","0","8.737068","0","49.77719","48.24768","49.01244","8.449145E-02","0","3.076848","0","29.615",
"1/2/2002 3:00:00 AM","0","0","0.7997292","-6.856453","0","14.74824","0","0.084489","0","0","12.7308","0","49.3804","47.11235","48.24638","8.449145E-02","0","4.213783","0","29.795",
"1/2/2002 4:00:00 AM","0","0","0.7869669","-6.575091","0","15.72383","0","0.084489","0","0","13.72151","0","49.21891","46.42228","47.82059","8.449145E-02","0","4.492525","0","29.975",
"1/2/2002 5:00:00 AM","0","0","0.7308083","-5.934485","0","16.13439","0","0.084489","0","0","14.15918","0","49.14255","45.96084","47.55169","8.449145E-02","0","4.609827","0","30.29",
"1/2/2002 6:00:00 AM","0","0","0.8475383","-11.58747","0","62.89867","0","0.084489","0","0","56.59956","0","60.05879","47.45059","53.75469","8.449145E-02","0","17.97105","0","30.515",
"1/2/2002 7:00:00 AM","0","0","0.8648828","-11.70944","0","54.78893","0","0.084489","0","0","51.54699","0","60.46756","50.05213","55.25984","8.449145E-02","0","15.65398","0","31.235",
"1/2/2002 8:00:00 AM","0","0","1.224247","-17.48375","0","47.50947","16.89645","1.824816","0.9077336","5.407131E-02","44.43887","0","61.50048","51.70263","56.60156","1.824817","16.89645","13.57413","0","32.27",
"1/2/2002 9:00:00 AM","0","0","1.196061","-16.46052","0","43.48675","16.89645","1.824816","1.798874","0.4078184","40.49686","0","62.15583","52.62386","57.38985","1.824817","16.89645","12.42479","0","33.215",
"1/2/2002 10:00:00 AM","0","0","1.160982","-15.45649","0","41.30427","16.89645","1.824816","0.8952554","1.181061","38.38966","0","62.46209","53.27771","57.8699","1.824817","16.89645","11.80122","0","34.115",
"1/2/2002 11:00:00 AM","0","0","0.901785","-7.10066","0","2.523224","0","1.824816","0","1.939434","1.973922","-1.196836","52.27806","51.36391","51.82098","1.824817","0","0.7209207","0","35.15",
"1/2/2002 12:00:00 PM","0","0","0.8060472","-5.188462","0","8.183127","0","1.824816","0","2.791198","6.695567","0","50.41603","48.65593","49.53598","1.824817","0","2.338037","0","36.095",
"1/2/2002 1:00:00 PM","0","0","0.7904528","-4.628816","0","9.501968","0","1.824816","0","4.354573","8.135995","0","50.4261","48.44143","49.43376","1.824817","0","2.714847","0","37.535",
"1/2/2002 2:00:00 PM","0","0","0.7863622","-4.159022","0","8.633585","0","1.824816","0","5.734714","7.393457","0","50.54971","48.68195","49.61583","1.824817","0","2.46674","0","39.02",
"1/2/2002 3:00:00 PM","0","0","0.8176579","-3.882737","0","8.020754","0","1.824816","0","5.522527","6.913096","0","50.64936","48.79091","49.72014","1.824817","0","2.291646","0","40.595",
"1/2/2002 4:00:00 PM","0","0","1.066122","-11.05997","0","52.68878","0","1.824816","0","2.431939","47.5548","-5.968594E-02","61.62124","49.85666","55.73895","1.824817","0","15.05394","0","40.73",
"1/2/2002 5:00:00 PM","0","0","1.095917","-11.6715","0","48.62656","0","1.824816","0","0.5700455","46.18764","0","61.89596","52.09211","56.99404","1.824817","0","13.8933","0","40.505",
"1/2/2002 6:00:00 PM","0","0","1.068605","-11.42858","0","36.9935","16.89645","1.824816","0.4479623","0","34.5819","0","62.56174","53.55466","58.0582","1.824817","16.89645","10.56957","0","40.19",
"1/2/2002 7:00:00 PM","0","0","1.055507","-11.21969","0","34.06601","16.89645","1.824816","0.8896439","0","31.66057","0","62.96777","54.34449","58.65613","1.824817","16.89645","9.733144","0","40.235",
"1/2/2002 8:00:00 PM","0","0","0.7641945","-7.272905","0","28.53032","16.89645","1.824816","1.328511","0","26.14091","0","63.24685","54.84876","59.0478","1.824817","16.89645","8.151518","0","40.415",
"1/2/2002 9:00:00 PM","0","0","0.7631611","-7.219334","0","27.30294","16.89645","1.824816","1.766482","0","24.9273","0","63.45022","55.21372","59.33197","1.824817","16.89645","7.800838","0","40.595",
"1/2/2002 10:00:00 PM","0","0","0.7972146","-7.533326","0","26.93065","16.89645","1.824816","1.761848","0","24.56808","0","63.57881","55.48669","59.53275","1.824817","16.89645","7.694471","0","40.775",
