0,,kBtu/h,kBtu/h
1,1/1/2002 1:00:00 AM,0,-1.678917
2,1/1/2002 2:00:00 AM,0,0
3,1/1/2002 3:00:00 AM,0,0
4,1/1/2002 4:00:00 AM,0,0
5,1/1/2002 5:00:00 AM,0,0
6,1/1/2002 6:00:00 AM,0,0
7,1/1/2002 7:00:00 AM,0,0
8,1/1/2002 8:00:00 AM,0,0
9,1/1/2002 9:00:00 AM,0,0
10,1/1/2002 10:00:00 AM,0,0
11,1/1/2002 11:00:00 AM,0,-1.601905
12,1/1/2002 12:00:00 PM,0,-0.1388439
13,1/1/2002 1:00:00 PM,0,0
14,1/1/2002 2:00:00 PM,0,0
15,1/1/2002 3:00:00 PM,0,0
16,1/1/2002 4:00:00 PM,0,-0.0765077
17,1/1/2002 5:00:00 PM,0,0
18,1/1/2002 6:00:00 PM,0,0
19,1/1/2002 7:00:00 PM,0,0
20,1/1/2002 8:00:00 PM,0,0
21,1/1/2002 9:00:00 PM,0,0
22,1/1/2002 10:00:00 PM,0,0
23,1/1/2002 11:00:00 PM,0,0
24,1/2/2002,0,0
25,1/2/2002 1:00:00 AM,0,-1.471416
26,1/2/2002 2:00:00 AM,0,0
27,1/2/2002 3:00:00 AM,0,0
28,1/2/2002 4:00:00 AM,0,0
29,1/2/2002 5:00:00 AM,0,0
30,1/2/2002 6:00:00 AM,0,0
31,1/2/2002 7:00:00 AM,0,0
32,1/2/2002 8:00:00 AM,0,0
33,1/2/2002 9:00:00 AM,0,0
34,1/2/2002 10:00:00 AM,0,0
35,1/2/2002 11:00:00 AM,0,-1.196836
36,1/2/2002 12:00:00 PM,0,0
37,1/2/2002 1:00:00 PM,0,0
38,1/2/2002 2:00:00 PM,0,0
39,1/2/2002 3:00:00 PM,0,0
40,1/2/2002 4:00:00 PM,0,-5.968594E-02
41,1/2/2002 5:00:00 PM,0,0
42,1/2/2002 6:00:00 PM,0,0
43,1/2/2002 7:00:00 PM,0,0
44,1/2/2002 8:00:00 PM,0,0
45,1/2/2002 9:00:00 PM,0,0
46,1/2/2002 10:00:00 PM,0,0
47,1/2/2002 11:00:00 PM,0,0
48,1/3/2002,0,0
49,1/3/2002 1:00:00 AM,0,-1.145324
50,1/3/2002 2:00:00 AM,0,-1.573168E-02
51,1/3/2002 3:00:00 AM,0,0
52,1/3/2002 4:00:00 AM,0,0
53,1/3/2002 5:00:00 AM,0,0
54,1/3/2002 6:00:00 AM,0,0
55,1/3/2002 7:00:00 AM,0,0
56,1/3/2002 8:00:00 AM,0,0
57,1/3/2002 9:00:00 AM,0,0
58,1/3/2002 10:00:00 AM,0,0
59,1/3/2002 11:00:00 AM,0,-0.7767223
60,1/3/2002 12:00:00 PM,0,0
61,1/3/2002 1:00:00 PM,0,0
62,1/3/2002 2:00:00 PM,0,0
63,1/3/2002 3:00:00 PM,0,0
64,1/3/2002 4:00:00 PM,0,0
65,1/3/2002 5:00:00 PM,0,0
66,1/3/2002 6:00:00 PM,0,0
67,1/3/2002 7:00:00 PM,0,0
68,1/3/2002 8:00:00 PM,0,0
69,1/3/2002 9:00:00 PM,0,0
70,1/3/2002 10:00:00 PM,0,0
71,1/3/2002 11:00:00 PM,0,0
72,1/4/2002,0,0
73,1/4/2002 1:00:00 AM,0,-0.9556147
74,1/4/2002 2:00:00 AM,0,0
75,1/4/2002 3:00:00 AM,0,0
76,1/4/2002 4:00:00 AM,0,0
77,1/4/2002 5:00:00 AM,0,0
78,1/4/2002 6:00:00 AM,0,0
79,1/4/2002 7:00:00 AM,0,0
80,1/4/2002 8:00:00 AM,0,0
81,1/4/2002 9:00:00 AM,0,0
82,1/4/2002 10:00:00 AM,0,0
83,1/4/2002 11:00:00 AM,0,-0.903267
84,1/4/2002 12:00:00 PM,0,0
85,1/4/2002 1:00:00 PM,0,0
86,1/4/2002 2:00:00 PM,0,0
87,1/4/2002 3:00:00 PM,0,0
88,1/4/2002 4:00:00 PM,0,0
89,1/4/2002 5:00:00 PM,0,0
90,1/4/2002 6:00:00 PM,0,0
91,1/4/2002 7:00:00 PM,0,0
92,1/4/2002 8:00:00 PM,0,0
93,1/4/2002 9:00:00 PM,0,0
94,1/4/2002 10:00:00 PM,0,0
95,1/4/2002 11:00:00 PM,0,0
96,1/5/2002,0,0
97,1/5/2002 1:00:00 AM,0,-1.419084
98,1/5/2002 2:00:00 AM,0,0
99,1/5/2002 3:00:00 AM,0,0
100,1/5/2002 4:00:00 AM,0,0
101,1/5/2002 5:00:00 AM,0,0
102,1/5/2002 6:00:00 AM,0,0
103,1/5/2002 7:00:00 AM,0,0
104,1/5/2002 8:00:00 AM,0,0
105,1/5/2002 9:00:00 AM,0,0
106,1/5/2002 10:00:00 AM,0,0
107,1/5/2002 11:00:00 AM,0,0
108,1/5/2002 12:00:00 PM,0,0
109,1/5/2002 1:00:00 PM,0,0
110,1/5/2002 2:00:00 PM,0,0
111,1/5/2002 3:00:00 PM,0,0
112,1/5/2002 4:00:00 PM,0,0
113,1/5/2002 5:00:00 PM,0,0
114,1/5/2002 6:00:00 PM,0,0
115,1/5/2002 7:00:00 PM,0,0
116,1/5/2002 8:00:00 PM,0,0
117,1/5/2002 9:00:00 PM,0,0
118,1/5/2002 10:00:00 PM,0,-1.428419
119,1/5/2002 11:00:00 PM,0,-0.1024086
120,1/6/2002,0,0
121,1/6/2002 1:00:00 AM,0,0
122,1/6/2002 2:00:00 AM,0,0
123,1/6/2002 3:00:00 AM,0,0
124,1/6/2002 4:00:00 AM,0,0
125,1/6/2002 5:00:00 AM,0,0
126,1/6/2002 6:00:00 AM,0,0
127,1/6/2002 7:00:00 AM,0,0
128,1/6/2002 8:00:00 AM,0,0
129,1/6/2002 9:00:00 AM,0,0
130,1/6/2002 10:00:00 AM,0,0
131,1/6/2002 11:00:00 AM,0,0
132,1/6/2002 12:00:00 PM,0,0
133,1/6/2002 1:00:00 PM,0,0
134,1/6/2002 2:00:00 PM,0,0
135,1/6/2002 3:00:00 PM,0,0
136,1/6/2002 4:00:00 PM,0,0
137,1/6/2002 5:00:00 PM,0,0
138,1/6/2002 6:00:00 PM,0,0
139,1/6/2002 7:00:00 PM,0,0
140,1/6/2002 8:00:00 PM,0,0
141,1/6/2002 9:00:00 PM,0,0
142,1/6/2002 10:00:00 PM,0,-1.840835
143,1/6/2002 11:00:00 PM,0,-0.8542859
144,1/7/2002,0,0
