,steam-LBS,startDay,endDay,RH-%,T-C,Tdew-C,pressure-mbar,solarRadiation-W/m2,windDirection,windSpeed-m/s,humidityRatio-kg/kg,coolingDegrees,heatingDegrees,dehumidification,occupancy
2012-01-01,17256.468099,2012-01-01,2012-01-02,76.652173913,7.17391304348,3.07391304348,1004.95652174,95.2608695652,236.086956522,4.11836078261,0.004795510594,0.0,7.82608695652,0.0,0.0
2012-01-02,,2012-01-02,2012-01-03,55.9583333333,5.83333333333,-2.9375,994.625,87.3333333333,253.75,5.91435658333,0.00341460540853,0.0,9.16666666667,0.0,0.3
2012-01-03,,2012-01-03,2012-01-04,42.5,-3.20833333333,-12.975,1002.125,95.7083333333,302.916666667,6.250005,0.00132665051803,0.0,18.2083333333,0.0,0.3
2012-01-04,,2012-01-04,2012-01-05,41.5416666667,-7.08333333333,-16.9583333333,1008.25,98.75,286.666666667,5.12731891667,0.000889791158399,0.0,22.0833333333,0.0,0.3
2012-01-05,45231.7089844,2012-01-05,2012-01-06,46.9166666667,-0.583333333333,-9.86666666667,1002.04166667,90.75,258.333333333,5.16204116667,0.00174596354204,0.0,15.5833333333,0.0,0.3
2012-01-06,41182.952474,2012-01-06,2012-01-07,65.9583333333,1.625,-4.03333333333,1002.0,76.5416666667,177.083333333,2.80092816667,0.00292294970613,0.0,13.375,0.0,0.3
2012-01-07,,2012-01-07,2012-01-08,65.1666666667,6.49166666667,-0.304166666667,998.791666667,94.2916666667,157.5,2.65046508333,0.00378584209167,0.375,8.50833333333,0.0,0.3
2012-01-08,31754.5963542,2012-01-08,2012-01-09,48.4583333333,4.83333333333,-5.20833333333,1010.375,95.5,295.416666667,4.98842991667,0.00258955253623,0.0,10.1666666667,0.0,0.3
2012-01-09,,2012-01-09,2012-01-10,49.2083333333,0.0416666666667,-9.34583333333,1014.375,101.5,260.416666667,3.78472525,0.00182474143564,0.0,14.9583333333,0.0,0.3
2012-01-10,,2012-01-10,2012-01-11,62.5416666667,3.45833333333,-3.41666666667,1002.75,95.7916666667,245.0,4.49074433333,0.00296154921869,0.0,11.5416666667,0.0,0.3
2012-01-11,34495.2897135,2012-01-11,2012-01-12,62.0833333333,1.70833333333,-4.875,1010.04166667,98.7083333333,181.666666667,3.51852133333,0.00266041688508,0.0,13.2916666667,0.0,0.3
2012-01-12,,2012-01-12,2012-01-13,85.4166666667,3.95833333333,1.64166666667,998.25,5.08333333333,166.25,8.6805625,0.00435537810366,0.0,11.0416666667,0.0,0.3
2012-01-13,29408.7109375,2012-01-13,2012-01-14,70.8333333333,3.54166666667,-1.83333333333,987.708333333,45.75,164.583333333,6.21528275,0.00365009946251,0.0,11.4583333333,0.0,0.3
2012-01-14,30238.0118815,2012-01-14,2012-01-15,50.0,-1.5,-10.1416666667,1000.33333333,88.75,282.916666667,7.26852433333,0.00171587412676,0.0,16.5,0.0,0.3
2012-01-15,43558.0167643,2012-01-15,2012-01-16,46.2916666667,-10.7916666667,-18.8541666667,1016.54166667,109.708333333,319.166666667,5.91435658333,0.000765581277148,0.0,25.7916666667,0.0,0.3
2012-01-16,,2012-01-16,2012-01-17,48.2916666667,-6.125,-14.6,1022.20833333,104.291666667,257.916666667,4.583337,0.00121739249854,0.0,21.125,0.0,0.3
2012-01-17,37525.1074219,2012-01-17,2012-01-18,85.1666666667,3.875,1.525,1002.33333333,59.125,218.75,4.64120741667,0.00432234394388,0.0,11.125,0.0,0.3
2012-01-18,42445.3222656,2012-01-18,2012-01-19,46.1666666667,2.95833333333,-7.2875,999.458333333,109.416666667,296.666666667,8.80787741667,0.00252716930306,0.0,12.0416666667,0.0,0.3
2012-01-19,52146.328125,2012-01-19,2012-01-20,56.2916666667,-4.25,-11.0,1013.08333333,94.7916666667,213.75,3.888892,0.00164298414575,0.0,19.25,0.0,0.3
2012-01-20,,2012-01-20,2012-01-21,62.6666666667,-1.83333333333,-8.01666666667,1010.20833333,117.083333333,273.333333333,4.91898541667,0.00210398713289,0.0,16.8333333333,0.0,0.3
2012-01-21,46588.9556207,2012-01-21,2012-01-22,69.7916666667,-6.625,-10.9125,1014.875,21.7083333333,267.916666667,4.43287391667,0.00159681619946,0.0,21.625,0.0,0.3
2012-01-22,40979.3902995,2012-01-22,2012-01-23,66.75,-4.79166666667,-9.48333333333,1024.625,83.3333333333,220.416666667,3.99305875,0.00177629677497,0.0,19.7916666667,0.0,0.3
2012-01-23,,2012-01-23,2012-01-24,83.7083333333,2.54166666667,-0.00833333333333,1016.29166667,44.25,155.833333333,2.30324258333,0.00391566950494,0.0,12.4583333333,0.0,0.970833333333
2012-01-24,23362.7099609,2012-01-24,2012-01-25,72.25,10.0833333333,4.79166666667,1004.41666667,91.9583333333,252.916666667,4.82639275,0.00554692492951,0.166666666667,4.91666666667,0.0,1.0
2012-01-25,,2012-01-25,2012-01-26,56.7083333333,3.83333333333,-4.0,1012.0,114.791666667,282.083333333,5.277782,0.00280034230859,0.0,11.1666666667,0.0,1.0
2012-01-26,34713.2480469,2012-01-26,2012-01-27,72.6666666667,1.79166666667,-2.75416666667,1012.58333333,85.125,222.916666667,3.58796583333,0.00308928765465,0.0,13.2083333333,0.0,1.0
