,Latitude,Longitude,crime,Bathrooms,SQFT,Price,energySiteEUI
1,42.356533,-71.070305,14.0,3.5,2500.0,9500.0,145.0
2,42.3554,-71.06151,19.0,2.5,2250.0,8500.0,263.7
3,42.356464,-71.06176,35.0,2.0,1325.0,7200.0,965.3
4,42.356464,-71.06176,35.0,1.0,750.0,3800.0,965.3
5,42.356464,-71.06176,35.0,2.0,1125.0,6000.0,965.3
6,42.356464,-71.06176,35.0,2.0,1180.0,6000.0,965.3
7,42.303974,-71.07125,5.0,1.0,650.0,2250.0,212.2
8,42.356464,-71.06176,35.0,2.0,1000.0,5600.0,965.3
14,42.356266,-71.070145,14.0,2.0,2003.75,5200.0,145.0
16,42.252857,-71.11705,5.0,2.0,1245.0,3400.0,260.9
17,42.356266,-71.070145,14.0,2.0,1240.0,5000.0,145.0
18,42.356464,-71.06176,35.0,2.0,1387.0,5600.0,965.3
19,42.356464,-71.06176,35.0,2.0,1157.5,6300.0,965.3
20,42.357292,-71.065674,0.0,1.0,995.0,3300.0,197.0
22,42.303974,-71.07125,5.0,1.0,650.0,2250.0,212.2
25,42.356266,-71.070145,14.0,2.0,2003.75,5200.0,145.0
29,42.252857,-71.11705,5.0,1.0,600.0,2600.0,260.9
33,42.356464,-71.06176,35.0,1.0,750.0,3500.0,965.3
34,42.356266,-71.070145,14.0,2.0,1240.0,5200.0,145.0
35,42.357437,-71.06869,14.0,1.0,767.0,2100.0,145.0
40,42.252857,-71.11705,5.0,1.0,575.0,2950.0,260.9
42,42.356266,-71.070145,14.0,2.0,2003.75,5200.0,145.0
44,42.356266,-71.070145,14.0,2.0,2003.75,5200.0,145.0
45,42.35554,-71.06136,35.0,3.0,3435.0,12000.0,965.3
46,42.356773,-71.06997,14.0,1.0,750.0,3850.0,145.0
47,42.35678,-71.069984,14.0,1.0,750.0,3850.0,145.0
50,42.252857,-71.11705,5.0,2.0,1245.0,3550.0,260.9
51,42.357246,-71.06,30.0,2.5,1998.0,11750.0,532.1
52,42.356293,-71.06971,14.0,2.0,2003.75,5200.0,145.0
54,42.35761,-71.0698,14.0,1.0,949.25,2900.0,145.0
55,42.3554,-71.06151,19.0,2.5,2421.25,8500.0,263.7
56,42.312897,-71.097374,11.0,1.0,1000.0,2300.0,245.7
57,42.252857,-71.11705,5.0,1.0,575.0,2950.0,260.9
59,42.356266,-71.070145,14.0,2.0,2003.75,5200.0,145.0
62,42.356266,-71.070145,14.0,2.0,2003.75,5200.0,145.0
63,42.252857,-71.11705,5.0,2.0,1245.0,3475.0,260.9
66,42.35761,-71.0698,14.0,1.0,949.25,2900.0,145.0
67,42.303974,-71.07125,5.0,1.0,570.0,2050.0,212.2
68,42.356773,-71.06997,14.0,1.0,797.0,3850.0,145.0
69,42.3574,-71.064964,0.0,2.0,1150.0,3475.0,197.0
71,42.356266,-71.070145,14.0,2.0,1500.0,5200.0,145.0
72,42.356266,-71.070145,14.0,2.0,2003.75,5200.0,145.0
78,42.357246,-71.06,30.0,4.0,2837.0,35000.0,532.1
79,42.35684,-71.06867,14.0,2.0,1400.0,3695.0,145.0
82,42.303974,-71.07125,5.0,1.0,768.0,2200.0,212.2
83,42.303974,-71.07125,5.0,1.0,570.0,2400.0,212.2
88,42.252857,-71.11705,5.0,1.0,700.0,2970.0,260.9
90,42.355816,-71.06178,35.0,2.0,1157.5,6000.0,965.3
92,42.357246,-71.06,30.0,2.0,1317.0,5500.0,532.1
103,42.303974,-71.07125,5.0,1.0,659.5,2100.0,212.2
104,42.303974,-71.07125,5.0,1.0,659.5,2250.0,212.2
105,42.35548,-71.06084,35.0,1.0,630.25,2850.0,965.3
106,42.355816,-71.06178,35.0,2.0,1387.0,4700.0,965.3
115,42.252857,-71.11705,5.0,1.0,612.5,2600.0,260.9
117,42.303974,-71.07125,5.0,1.0,606.0,2175.0,212.2
118,42.297344,-71.07283,6.0,1.0,1174.25,4400.0,67.7
120,42.252857,-71.11705,5.0,1.0,612.5,2900.0,260.9
122,42.303974,-71.07125,5.0,1.0,630.0,2000.0,212.2
123,42.303974,-71.07125,5.0,1.0,659.5,2175.0,212.2
125,42.303974,-71.07125,5.0,1.0,659.5,2100.0,212.2
126,42.303974,-71.07125,5.0,1.0,659.5,2200.0,212.2
130,42.356266,-71.07004,14.0,2.0,4035.0,5200.0,145.0
136,42.361675,-71.053185,7.0,1.0,780.0,2650.0,238.0
137,42.367596,-71.054306,3.0,1.0,529.5,1799.0,155.5
138,42.36499,-71.052605,14.0,1.0,600.0,2400.0,372.3
139,42.362057,-71.053246,7.0,1.0,1200.0,3000.0,238.0
140,42.365963,-71.051926,2.0,1.0,537.5,1500.0,326.1
141,42.36513,-71.05145,2.0,1.0,754.0,2700.0,326.1
142,42.362694,-71.052284,14.0,1.0,735.0,2600.0,188.3
143,42.366074,-71.05176,2.0,1.5,1100.0,3400.0,326.1
144,42.36648,-71.05226,14.0,1.0,885.5,2400.0,372.3
145,42.366226,-71.05108,2.0,1.0,716.0,1800.0,326.1
146,42.36752,-71.05388,3.0,1.0,475.0,1800.0,155.5
147,42.36414,-71.05193,3.0,1.0,464.0,2200.0,211.3
148,42.36596,-71.05202,2.0,1.0,562.5,1500.0,326.1
149,42.357876,-71.05435,16.0,1.0,650.0,3100.0,912.9
150,42.362106,-71.053185,7.0,1.0,887.0,2500.0,238.0
152,42.36304,-71.05275,14.0,2.0,1240.0,4300.0,188.3
153,42.357876,-71.05435,16.0,4.0,2300.0,6000.0,912.9
154,42.357876,-71.05435,16.0,1.0,700.0,2600.0,912.9
155,42.357876,-71.05435,16.0,1.0,650.0,2595.0,912.9
156,42.357876,-71.05435,16.0,1.0,700.0,2500.0,912.9
157,42.357876,-71.05435,16.0,2.0,1150.0,3000.0,912.9
158,42.366226,-71.05108,2.0,1.0,900.0,2950.0,326.1
159,42.367596,-71.054306,3.0,1.0,529.5,1800.0,155.5
160,42.366226,-71.05108,2.0,1.5,905.0,3500.0,326.1
161,42.358784,-71.05696,13.0,2.0,1300.0,3865.0,331.6
162,42.36648,-71.05226,14.0,1.0,885.5,2400.0,372.3
163,42.36277,-71.05315,14.0,1.0,598.0,2500.0,188.3
164,42.35933,-71.05491,13.0,2.5,995.0,3350.0,331.6
165,42.35933,-71.05491,13.0,1.0,600.0,2350.0,331.6
166,42.366226,-71.05108,2.0,1.5,1251.25,2700.0,326.1
167,42.36748,-71.054405,3.0,1.0,676.25,3000.0,155.5
168,42.367596,-71.054306,3.0,1.0,408.0,1800.0,155.5
