Date/Time,InteriorLights:Electricity [J](Monthly),InteriorEquipment:Electricity [J](Monthly),Fans:Electricity [J](Monthly),Pumps:Electricity [J](Monthly),Heating:DistrictHeating [J](Monthly),Cooling:DistrictCooling [J](Monthly) 
January,54952498901.6665,97444904193.8976,7352245970.31456,980971525.261534,137745138066.594,24670958241.1242 
February,49854661098.32,80438280919.6592,6605104020.93533,661973217.102539,91446047468.0389,25094752541.4935 
March,56021400376.5617,86631158892.9127,7291961524.11676,686611399.116944,54944635840.9382,57805599157.4027 
April,52040427575.8302,100580829051.504,7035665132.12162,774164411.388742,22039535113.3166,83696675893.2092 
May,56021400376.5618,103933523353.221,7370442732.9239,1118385957.40134,14408596978.7589,122957095424.994 
June,53965820617.1478,100580829051.504,7208907765.48543,1502392584.90963,6019052992.16547,173608166064.863 
July,54096007335.2441,103933523353.221,7529937725.98228,1886487322.55691,3901816248.42954,223732145050.466 
August,56021400376.5617,103933523353.221,7490000599.95041,1715311443.15357,5432792474.39706,201354736599.052 
September,53109329050.7254,100580829051.504,7115508699.40911,1184107846.84203,10878874294.112,138558473837.494 
October,54952498901.6665,115666157452.247,7319068819.67606,861254736.168872,23981370971.8462,91571648836.9396 
November,53965820617.1478,121881385514.492,7030452814.96948,585960586.137603,44706510858.8966,53856657599.2537 
December,54096007335.2441,108167919437.094,7315420337.21504,684689715.614948,109208807093.992,23427608135.6984 
