,Site_EUI,pos,,,,,,,,,
0,86," -71.0583413926925,42.35855145",,,,,,,,,
1,82.5," -71.0467082,42.3543649",,,,,,,,,
2,60.8," -71.0541072,42.3541385",,,,,,,,,
3,95.7," -71.0741246,42.348456",,,,,,,,,
4,43.7," -71.0726813636364,42.3502073636364",,,,,,,,,
5,79.7," -71.063411,42.375932",,,,,,,,,
6,62.2," -71.0538039,42.3567772",,,,,,,,,
7,0," -71.0595677,42.3604823",,,,,,,,,
8,0," -71.0595677,42.3604823",,,,,,,,,
9,0," -71.0515721454546,42.3545770181818",,,,,,,,,
10,64.3," -71.0553778712356,42.3586608",,,,,,,,,
11,41.5," -71.0568667244972,42.3571774",,,,,,,,,
12,0," -71.063398,42.364341",,,,,,,,,
13,78.3," -71.0574159142114,42.35384315",,,,,,,,,
14,65.6," -71.0576746936166,42.3533962397649",,,,,,,,,
15,76.1," -71.05745065,42.35933905",,,,,,,,,
16,79.7," -71.0548150333333,42.3593455666667",,,,,,,,,
17,71.8," -71.0551194476058,42.356809",,,,,,,,,
18,100.8," -71.053918510129,42.3560992",,,,,,,,,
19,0," -71.0550633101526,42.3543741559122",,,,,,,,,
20,61," -71.0561404594595,42.3542358378378",,,,,,,,,
21,108," -71.0836626,42.3467642",,,,,,,,,
22,68.9," -71.125360033557,42.3663826006711",,,,,,,,,
23,62.9," -71.1254441632653,42.3662225714286",,,,,,,,,
24,64.7," -71.1254253877551,42.3662118571429",,,,,,,,,
25,49," -71.1254366530612,42.3662182857143",,,,,,,,,
26,71.1," -71.1299528,42.3726874",,,,,,,,,
27,82.1," -71.1254629387755,42.3662332857143",,,,,,,,,
28,112.7," -71.124972,42.366879",,,,,,,,,
29,105.4," -71.1253631208054,42.3663843624161",,,,,,,,,
30,41.8," -71.1253581812081,42.3663815436242",,,,,,,,,
31,65.7," -71.1254479183673,42.3662247142857",,,,,,,,,
32,56.4," -71.1254328979592,42.3662161428571",,,,,,,,,
33,104.9," -71.1253643557047,42.3663850671141",,,,,,,,,
34,40.1," -71.125367442953,42.3663868288591",,,,,,,,,
35,59.2," -71.1253662080537,42.3663861241611",,,,,,,,,
36,78.2," -71.1299528,42.3726874",,,,,,,,,
37,52.2," -71.120862,42.36765",,,,,,,,,
38,74.7," -71.1254404081633,42.3662204285714",,,,,,,,,
39,91.5," -71.1253612684564,42.3663833053691",,,,,,,,,
40,53.7," -71.1253705302013,42.366388590604",,,,,,,,,
41,36.7," -71.1299528,42.3726874",,,,,,,,,
42,83.2," -71.1254216326531,42.3662097142857",,,,,,,,,
43,69.6," -71.1254216326531,42.3662097142857",,,,,,,,,
44,58.5," -71.1254817142857,42.366244",,,,,,,,,
